_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:09:57.077Z,null,null,null,null,null,Black Sea MOU,null,Russia,null,0,0,null,null,null,9617442,null,10-05-24,null,null,null,null,null,Nil findings,null,Q2 - 2024,Batumi,null,null,null,null,null,null,867,null,null,null,null,null,null,null,01-05-25,CECH,Tanker,China Merchants Jinling Shipyard (Nanjing) Co Ltd,null,12.42,null,874,null,Wet,Tanker,Singapore,Stamford Shipping LLP,null,SDAS
2025-04-29T12:09:57.07Z,null,null,null,null,null,Paris MOU,null,Italy,null,null,1,null,null,null,9299434,null,27-05-24,null,null,null,null,null,ER fire dampers and funnel's flaps not properly closing,null,Q2 - 2024,Ravenna,null,null,7105,Fire-dampers,null,17,832,null,null,null,null,null,null,null,29-08-24,Maersk Bristol,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.56,null,839,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:01.51Z,Active,null,null,null,null,USCG ,null,UNITED STATE OF AMERICA,null,null,0,null,null,null,9669926,E,21-03-25,PSC,MSTC JESSE LUCAS,Sachin Bagga,Santhosh Rangan,null,null,null,Q1 - 2025,Boston,null,null,null,null,null,null,null,null,null,null,null,null,Rajendran Sivakumar,Madhu Nadilla,01-05-25,LVM Aaron,Tanker,null,null,null,null,null,null,Wet,Tanker,Liberia,Oaktree Capital Management LP,null,SMPL
2025-04-29T12:09:01.041Z,null,null,null,null,null,AMSA,null,Australia,null,1,1,null,null,null,9979058,null,14-04-25,PSC,"YU,Naxin",Vikram Viswanathan,Lakshmi Narayanan,null,Safety railing missing on walkway inside engine room funnel at C deck level,null,Q2 - 2025,Brisbane,null,null,18425,null,null,17-Oct,2025PSC171,null,null,null,null,null,Sanjay Kumar Jaiswal,Kapil Verma,01-05-25,Bunun Zest,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Liberia,Wisdom Marine Group,null,SMPL
2025-04-29T12:09:00.809Z,null,null,null,null,null,Asia-Pacific MoU,null,Japan,null,1,1,null,null,null,9525194,Fllet I,18-02-25,PSC,Yamasaki Shunya,Abhijeetham,Abhijeetham,null,Duty Crew were not understanding if the recently replaced NOX Related parts were in compliance with NOx Technical file.,PT Pertamina International Shipping,Q1 - 2025,Tokuyama,null,Pollution Prevention - MARPOL Annex VI,14601,"Technical files and if applicable, monitoring manual",null,17-Oct,2025PSC141,null,null,null,null,null,Prashanth Arun Ghotke,Saurabh Kumar,01-05-25,Gas Antasena,LPG Carrier,null,null,null,null,null,null,Wet,Gas Carrier,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:10:00.427Z,null,null,null,null,null,Paris MoU,null,Italy,null,null,1,null,null,null,9415404,null,13-12-24,PSC,"Luca Losapio, Giuseppe Luca",Kohli (Synergy Germany),Eva Bergant,India,"Found the filters of the air conditioning system, in the air conditioning station, dirty",Al Agaila Oil Company Ltd,Q4 - 2024,Milazzo,null,"Accommodation, recreational facilities, food and catering",18321,"Heating, air conditioning and ventilation",AL AGAILA OIL COMPANY LTD.,17,2024PSC045,null,null,null,null,null,Devarayalu Gomatam,Subhaw Prakash,01-05-25,Al Agaila,Tanker,"
HYUNDAI SAMHO  SOUTH KOREA  HULL NO  S368",null,119.91,null,null,null,Wet,Tanker,Libya,Al Agaila Oil Company Ltd,null,SMG
2025-04-29T12:10:00.422Z,null,null,null,null,null,Black Sea MoU,null,Russia,null,null,1,null,null,null,9273818,null,21-10-24,PSC,L.G. Muzyka,Kohli (Synergy Germany),S Battacharya,"India, Philipines",Deck fire hydrant leak,Sun Marine Shipping Ltd,Q4 - 2024,Novorossiysk,null,Fire safety,7110,Fire fighting equipment and appliances,Sun Marine Shipping Ltd,17,2024PSC037,null,null,null,null,null,Devarayalu Gomatam,Dharmapal Sutar,01-05-25,Taurus,Bulk Carrier,"IMABARI SHIPBUILDING CO.,LTD",null,20.99,null,null,null,Dry,Bulk Carrier,Marshall Islands,TTS Shipping,null,SMG
2025-04-29T12:10:00.357Z,null,null,null,null,null,Black Sea MOU,null,China,null,null,1,null,null,null,9622916,null,26-01-22,PSC,Icyumskiy,Kohli (Synergy Germany),Anand NR,"India, Romania",Draft marks poorly readable.,Oldendorff Carriers GMBH & Co KG,Q1 - 2022,Taicang,null,Water/Weathertight condition,3102,Freeboard marks,Catania Shipping Inc.,99,2022PSC003,null,null,null,null,null,Tata M Sarma,Cyril Mathew,03-11-24,Cora Oldendorff,Bulk Carrier,Taizhou CATIC Shipbuilding Heavy Industry Ltd - Taizhou JS,null,13.19,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:09:44.472Z,null,null,null,null,null,Riyadh MOU,null,United Arab Emirates,null,null,1,null,null,null,9346122,null,24-08-23,PSC,Capt. Meyrajuddin Shah ,null,null,Indian,The chemical drums inside Steering gear room was noted with dried chemical  on top of drum cover and causing direct exposure hazard. ,BW Group,Q3 - 2023,Al Ruwais,null,Alarms,11199,Other (life saving appliances),BW Global LPG India Private LImited,17,2023PSC010,null,null,null,null,null,null,null,01-05-25,BW Tyr,LPG Carrier,"Hyundai Heavy Industries Ltd, Ulsan Korea",null,17.21,null,null,null,Wet,Gas Carrier,India,BW Group,null,SOPL
2025-04-29T12:09:44.53Z,null,null,null,null,null,Riyadh MOU,null,United Arab Emirates,null,null,1,null,null,null,9350604,null,02-10-24,PSC,Capt. Meyrajuddin Shah ,null,null,Indian,"Emergency lights
The emergency lights fitted at Port and Starboard side lifeboats embarkation were not explosion proof (IEXD) type and instead these were normal LED type lights.
",BW Group,Q4 - 2024,Ruwais,null,Working and Living Conditions - Working Conditions,9203,Lighting (Working spaces),null,16,2024PSC033,null,null,null,null,null,null,null,01-05-25,BW Lord,LPG Carrier,"Daewoo Ship Biuilding & Marine Engineering Co Ltd , Korea",null,16.59,null,null,null,Wet,Gas Carrier,India,BW Group,null,SOPL
2025-04-29T12:10:31.501Z,null,null,null,null,null,Vina del Mar,null,Mexico,null,0,null,null,null,null,1061520,null,29-01-25,PSC,"Tte Corbsia, Nav Luis Argel Oseguera Gutieriez",null,Capt. Wang Shi,Chinese,Nil findings,JNS SHIPPING LIMITED,Q1 - 2025,Ensenada,null,null,null,null,JNS Friendship Shipping Ltd,null,2025PSCSH003,null,null,null,null,null,Tata M Sarma,Mr. Edward Mao,01-05-25,JNS Friendship,Bulk Carrier,"Jiangmen Nanyang Ship Engineering Co., Ltd",null,null,null,null,null,Dry,Bulk Carrier,Hong Kong,JNS Shipping Limited,null,SMSH
2025-04-29T12:10:31.501Z,null,null,null,null,null,Tokyo MoU,null,Japan,null,1,1,null,null,null,9948023,null,28-02-24,PSC,FUKASANWA A,null,Capt. Feng Bingbing,Chinese,Several nuts on chain locker manhole - loosen,EGPN Bulk Carrier Co Limited,Q1 - 2024,Nagoya,null,Manholes/flush scuttles,null,Water/Weathertight condition,CHANNEL 10 HOLDING LIMITED,null,2024PSCSH002,null,null,null,null,null,Tata M Sarma,Mr. Edward Mao,01-05-25,Eastern Heather,Bulk Carrier,"CHENGXIN SHIPYARD CO., LTD.",null,null,null,null,null,Dry,Bulk Carrier,Hong Kong,EGPN Bulk Carrier Co Limited,null,SMSH
2025-04-29T12:10:12.792Z,null,null,null,null,null,Tokyo MoU,null,null,null,null,1,null,null,null,9433860,null,31-07-24,PSC,Nevic B Vinas,null,null,"Indonesian, Indian",Monkey island search light cable wire penetration point not cover by compound.,null,Q3 - 2024,null,null,"Health protection, medical care, social security",18408,Electrical,PT.SAMUDERA AMANAH TANKER,null,2024SMICPSC002,null,null,null,null,null,null,null,01-05-25,Sinar Minahasa,Tanker,"Higaki Shipbuilding Co., Ltd.",null,17.32,null,null,null,Wet,Tanker,Indonesia,Samudera,No,SMIC
2025-04-29T12:10:12.792Z,null,null,null,null,null,Tokyo MoU,null,Indonesia,null,0,0,null,null,null,9278662,null,28-10-24,PSC,Suryanto,null,null,"Indonesian, Indian",Nil,null,Q4 - 2024,Panjang,null,NA,NA,NA,PT. Synergy Marine Indonesia,null,2024SMICPSC001,null,null,null,null,null,null,null,01-05-25,JKT Miracle,Tanker,"Higaki Shipbuilding Co., Ltd.",null,17.36,null,null,null,Wet,Tanker,Panama,Kaifu Shipping,No,SMIC
2025-04-29T12:10:36.987Z,null,null,null,null,null,Paris MoU,null,Spain,null,null,1,null,null,null,9490624,null,07-10-24,PSC,Miguel Quintero,Damanjeet Singh Bakshi,Nitin Jaiswal,Indian/ Filippino,Manual call point key test missing.,GENCO,Q4 - 2024,Huelva,null,null,null,null,Genco Aquitaine Ltd,null,2024GSPLPSC008,null,null,null,null,null,Arunkumar,Vinoth Kumar,01-05-25,Genco Aquitaine,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.8,null,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,NO ,GSPL
2025-04-29T12:10:33.315Z,Active,null,null,null,null,Tokyo MoU,null,China,Indian/Ukranian / Bangladeshi,null,1,null,Fleet C,null,9593452,null,27-07-23,PSC,Zhang Wei,Glennford Gonsalves,Harsh Kapoor,null,THE EMERGENCY SEARCHING LIGHT FOR RESCUE BOAT UNLIT CAN NOT ADEQUATELY ILLUMINATE TH.E AREA OF WATER INTO WHICH THE RESCUE BOAT TO BE LAUNCHED.,Genco,Q3 - 2023,Taicang,null,Life saving appliances,11112,Launching arrangements for survival craft,null,17,2023PSC072,Genco Tiger Ltd,null,null,null,null,Angarayan,Prakash Raajppha,09-04-24,Genco Tiger,Bulk Carrier,"Hyundai Heavy Indus Co.,Ltd, S. Korea",null,13.53,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.336Z,Active,null,null,null,null,Tokyo MoU,null,Japan,Indian,null,1,null,Fleet A,null,9490636,null,06-03-24,PSC,Nishiara Daiki,Damanjeet Singh Bakshi,Vipul Kumar Singh,null,Sealing device for EPL - not reset,Genco,Q1 - 2024,Kagoshima,null,Pollution Prevention - MARPOL Annex VI,14699,Other MARPOL Annex VI,null,17,2024PSC34,Genco Ardennes Ltd,null,null,null,null,Arunkumar,Sathiyaseelan,01-07-24,Genco Ardennes,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.67,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.289Z,Active,null,null,null,NA,USCG,Nil,United States of America,Indian/Filippino,0,0,null,Fleet C,Nil,9301720,null,14-11-22,PSC,Jeffrey M. Hall,Damanjeet Singh Bakshi,Shailendra,null,Nil findings,Genco,Q4 - 2022,Chesapeake,null,0,null,0,null,null,2022PSC125,Genco Picardy Ltd,null,null,null,Nil,Angarayan,Kingshook Ghose,20-07-24,Genco Picardy,Bulk Carrier,Nantong COSCO KHI Ship Engineering co,null,20.14,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:13.173Z,Active ,null,null,null,null,Vina del Mar,null,Brazil,null,null,1,null,null,null,9448322,null,27-10-23,PSC,Clausia F. Gilery,Vijaya Ragavan,Denni Jacob,Indian + Filipino + Greek + Bangladeshi,Auxiliary engine - Boiler - Auto mode not running.,Mantinia Shipping,Q4 - 2023,Sao Luis,null,Propulsion and auxiliary machinery,13102,Auxiliary engine,Aliakmon Shipowning Company,15,2023PSC053,null,null,null,null,null,Deepak Sasikumar,Bijo Jose,01-05-25,Vorias,Tanker,Guangzhou Shipyard International Co.Ltd ,null,15.8,null,null,null,Wet,Tanker,Liberia,Mantinia Shipping,No,SMC
2025-04-29T12:10:00.376Z,null,null,null,null,null,Tokyo MOU,null,South Korea,null,2,1,null,null,null,9540871,null,09-05-22,PSC,"Kim Seon Kang, Song Hyeonjong",Kohli (Synergy Germany),Mads Walther ,"India, Romania, Sri Lanka","ISPS control - Access control to restricted area not carried out properly (EG room, battery room, ER skylight.",Oldendorff Carriers GMBH & Co KG,Q2 - 2022,Dangjin,null,ISPS,16101,Security related defects,Catania Shipping Inc.,99,2022PSC013,null,null,null,null,null,Tata M Sarma,Manoj Prabhakar,16-06-24,Paul Oldendorff,Bulk Carrier,Shanghai Jiangnan Changxing Heavy Industry Co. Ltd.                  ,null,12.8,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.361Z,null,null,null,null,null,Tokyo MoU,null,Russia,null,null,1,null,null,null,9570852,null,04-02-22,PSC,Alexander Barbakadze,Kohli (Synergy Germany),Mads Walther ,"India, Ukraine","ITU Publication list of coastal stations, edition is outdated.",Oldendorff Carriers GMBH & Co KG,Q1 - 2022,Nakhodka,null,Safety of Navigation,10116,Nautical publications,Rosebank Maritime Inc,17,2022PSC006,null,null,null,null,null,Tata M Sarma,Robert Falbogowski ,28-03-24,Charlotte Oldendorff,Bulk Carrier, Yangfan Group Co. Ltd,null,14.5,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.428Z,null,null,null,null,null,USCG,NA,United States of America,null,0,0,null,null,NA,9311048,null,19-03-25,PSC,MST1 Ryan Wilbur,Kohli (Synergy Germany),Eva Bergant,India,Nil Findings,OKEE Ship Twelve GmbH & Co KG,Q1 - 2025,"Galveston, Texas",null,0,null,0,Okee Ship Twelve GmbH & Co. KG,null,2025PSC006,null,null,null,null,null,Devarayalu Gomatam,Ahutosh Agarwal,01-05-25,Okee Ulf,Tanker,Shin Kurushima Dockyard Co. Ltd. - Onishi,null,19.1,null,null,null,Wet,Tanker,Liberia,OKEE Maritime GmbH,null,SMG
2025-04-29T12:09:13.129Z,Active ,null,null,null,null,Paris MOU,Poor housekeeping from securely clearing the upgraded areas.,Slovenia,null,3,1,null,null,"All dampers with similar closing arrangement have been verified again for proper
sealing. Deficiency circulated in fleet to highligt imporatnce of strict housekeeping
practices and any adverse effect on adjoining equipment.",9448322,null,30-11-22,PSC,Goran Mrdenovic,Vijaya Ragavan,Denni Jacob,Indian + Filipino + Greek + Bangladeshi,Fire dampers - Emergency generator room - fore vent damper not closing tightly.,Mantinia Shipping,Q4 - 2022,Koper,null,Fire safety,7115,Fire-dampers,Aliakmon Shipowning Company,17,2022PSC048,null,null,null,null,null,Deepak Sasikumar,Bijo Jose,01-05-25,Vorias,Tanker,Guangzhou Shipyard International Co.Ltd ,null,15.8,null,null,null,Wet,Tanker,Liberia,Mantinia Shipping,null,SMC
2025-04-29T12:09:13.126Z,Active ,null,null,null,null,Mediterranean MOU,NA,Turkey,null,0,0,null,null,NA,9461685,null,05-07-22,PSC,Erhan ELCIN,Vijaya Ragavan,Denni Jacob,Indian + Filipino ,Nil findings,Hafnia,Q3 - 2022,Port of Aliaga,null,,null,,Hafnia Tankers Singapore Sub-Holding Pte. Ltd.,null,2022PSC026,null,null,null,null,NA,Deepak Sasikumar,rejesh Padannapurath,01-05-25,Hafnia Lupus,Tanker,Guangzhou Shipyard International Co.Ltd ,null,13.03,null,null,null,Wet,Tanker,Denmark,Hafnia,null,SMC
2025-04-29T12:09:57.074Z,null,null,null,null,null,Paris MOU,null,Spain,null,0,0,null,null,null,9943384,null,20-06-24,null,null,null,null,null,Nil findings,null,Q2 - 2024,Ferrol,null,null,null,null,null,null,852,null,null,null,null,null,null,null,01-05-25,CL Toni Morrison,Tanker,New Times Shipbuilding Co Ltd - Jingjiang JS,null,null,null,859,null,Wet,Tanker,Liberia,Shandong Shipping Tankers Co Ltd,null,SDAS
2025-04-29T12:09:57.043Z,null,null,null,null,null,Tokyo MOU,null,South Korea,null,0,0,null,null,null,9732929,null,16-02-23,null,null,null,null,null,Nil findings,null,Q1 - 2023,Yeosu,null,null,null,null,null,null,726,null,null,null,null,null,null,null,01-05-25,CL Huaiyang,Tanker,"Sungdong Shipbuilding & Marine Engg Co Ltd, Tongyeong, South Korea.",null,8.32,null,733,null,Wet,Tanker,Marshall Islands,Maersk,null,SDAS
2025-04-29T12:10:33.29Z,Active,null,null,null,null,Paris MOU,null,Netherlands,Indian,null,1,null,Fleet A,null,9492335,null,01-12-22,PSC,Fulco deBlaauw & Mr.Sergio Peters,Glennford Gonsalves,Gurpreet Singh Mehar,null,"The handwheel operated hatchcovers of the emergency escape SB aft and from pipe tunnel midships fwd are not able to close properly, e.g. mechanism installed incorrectly",Genco,Q4 - 2022,Rotterdam,null,Water/Weathertight condition,3104,Cargo & other hatchways,null,17,2022PSC136,Baltic Wolf Ltd,null,null,null,null,Ravikumar,Ramanathan Subramanian,12-04-24,Baltic wolf,Bulk Carrier,Shanghai Jiangnan Changxing Co.Ltd,null,14.55,Closed ,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.277Z,Active,null,null,null,NA,USCG,Nil,United States of America,Indian/ Filippino,0,0,null,Fleet B,Nil,9707364,null,19-10-22,PSC,Msti nick bateman,Damanjeet Singh Bakshi,Shailendra,null,Nil findings,Genco,Q4 - 2022,Brownsville,null,0,null,0,null,null,2022PSC115,Genco Magic Ltd,null,null,null,Nil,Sanjay Jaiswal,Jayakumar T R,23-07-24,Genco Magic,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,10.97,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.274Z,Active,null,null,null,NA,Vina del Mar,Nil,Indonesia,Indian,0,0,null,Fleet B,Nil,9742663,null,12-08-22,PSC,Dedy Supriyanto,Damanjeet Singh Bakshi,Shailendra,null,Nil findings,Genco,Q3 - 2022,Gresik,null,0,null,0,null,null,2022PSC086,Genco Vigilant Ltd,null,null,null,Nil,Sanjay Jaiswal,Muthukumaran,07-07-24,Genco Vigilant,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,9.99,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.291Z,Active,null,null,null,null,Paris MOU,null,United Kingdom,Indian,null,1,null,Fleet C,null,9301720,null,09-12-22,PSC,Nicholas Cowling & Bill Blyth,Damanjeet Singh Bakshi,Shailendra,null,Port lifeboat engine stop switch intermittent in operation- engine does not stop every time stop switch is operated,Genco,Q4 - 2022,Immingham,null,Life saving appliances,11101,Lifeboats,null,10,2022PSC139,Genco Picardy Ltd,null,null,null,null,Angarayan,Kingshook Ghose,20-07-24,Genco Picardy,Bulk Carrier,Nantong COSCO KHI Ship Engineering co,null,20.14,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.334Z,Active,null,null,null,null,Paris MoU,null,Belgium,Indian/ Bangladeshi,2,1,null,Fleet A,null,9742663,null,23-01-24,PSC,Roger Greeven,Damanjeet Singh Bakshi,Shailendra Dixit,null,Firemen outfit not complying to the minimum requirements.,GENCO,Q1 - 2024,Antwerp (Antwerpen),null,Fire safety,7111,Personal equipment for fire safety,null,17,2024PSC009,Genco Vigilant Ltd,null,null,null,null,Sanjay Kumar Jaiswal,Kalicharan Ganguly,07-07-24,Genco Vigilant,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,9.99,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.314Z,Active,null,null,null,null,Paris MOU,null,Spain,India/ Bangladeshi,null,1,null,Fleet B,null,9707364,null,28-06-23,PSC,Jose Luis Marin,Damanjeet Singh Bakshi,Shailendra Dixit,null,Disposal of cargo resujidues at sea was recorded in wrong positions.,Genco,Q2 - 2023,Garrucha,null,Pollution Prevention - MARPOL Annex V,14599,Other MARPOL Annex V,null,99,2023PSC061,Genco Magic Ltd,null,null,null,null,Sanjay Kumar Jaiswal,Jayakumar,23-07-24,Genco Magic,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,10.97,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.335Z,Active,null,null,null,null,Vina del Mar,null,Peru,Indian/Srilankan/Bangladeshi,5,1,null,Fleet A,null,9593464,null,20-02-24,PSC,Nicholas Anderson Balarezo,Glennford Gonsalves,Harsh Kapoor,null,"Emergency Lighting, batteries and switches one 
Emergency light don't work",Genco,Q1 - 2024,San Nicolas,null,Emergency Systems,4103,"Emergency, lighting,batteries and switches",null,10,2024PSC23,Baltic Lion Ltd,null,null,null,null,Ravikumar,Suresh kumar balamohan ,07-04-24,Genco Lion,Bulk Carrier,"Hyundai Heavy Industries Co.,Ltd",null,13.33,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.253Z,Active,null,null,17,NA,Abuja MoU,Nil,Liberia,Filipino/Indian/Egyptian,0,0,null,Fleet C,Nil,9316165,null,23-03-22,PSC,Robert street,Damanjeet Singh Bakshi,Gurpreet Singh Mehar,null,Nil findings,Genco,Q1 - 2022,Buchanan,null,0,null,0,null,null,2022PSC024,Genco Predator Ltd,null,null,IFFR/PSC/PRDR-GSSM/2022/Apr/6,Nil,Angarayan,Kingshook Ghose,20-09-24,Genco Predator,Bulk Carrier,COSCO KHI Nantong,null,20.24,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:00.399Z,null,null,null,null,null,Tokyo MoU,NA,Guinea,null,0,0,null,null,NA,"
9690509",null,20-01-24,PSC,Keita Lanfia,Kohli (Synergy Germany),Capt. Raj Kumar Tayya,India,Nil findings,Silva Shipping,Q1 - 2024,Kamsar,null,0,null,0,Silva Shipping - FZCO,null,2024PSC003,null,null,null,null,null,Devarayalu Gomatam,Dharmapal Sutar,01-05-25,Lumina,Bulk Carrier,"Mitsui E&S Shipbuilding Co., Ltd.",null,13.37,null,null,null,Dry,Bulk Carrier,null,null,null,SMG
2025-04-29T12:10:33.307Z,Active,null,null,null,NA,AMSA,Nil,Australia,Indian/ Bangladeshi/Filippino,0,0,null,Fleet A,Nil,9331555,null,30-05-23,PSC,Rana Ajay,Glennford Gonsalves,Harsh Kapoor,null,Nil findings,Genco,Q2 - 2023,New Castle,null,0,null,0,null,null,2023PSC054,Genco Tiberius Ltd,null,null,null,Nil,Ravikumar,Suresh Kumar Balamohan,12-04-24,Genco Tiberius,Bulk Carrier,Japan,null,18.26,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:56.934Z,null,null,null,null,"02107 Ballast, fuel and other tanks",Black Sea MOU,null,Russia,null,null,1,null,null,null,9299446,null,14-03-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,Hydraulic valve on deck leak,Maersk,Q1 - 2022,Novorossiysk,null,Structural condition,2107,"Ballast, fuel and other tanks",Crew error,null,573,null,null,null,null,null,Synergy Denmark,Synergy Denmark,26-07-24,Maersk Belfast,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.45,null,551,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.95Z,null,null,null,null,13104 Bilge pumping arrangements,Paris MOU,null,United Kingdom,null,null,1,null,null,null,9348302,null,11-08-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,null,"Officer laundry fire detector is not included in vessel fire detection system. Officer laundry has stand alone fire detector. Vessel fire plan has officer laundry designated as locker, no specific designation of fire plan stating officer laundry.",Maersk,Q3 - 2022,Clydebank,null,Propulsion and auxiliary machinery,13104,Bilge pumping arrangements,null,null,607,null,null,null,null,null,Synergy Denmark,Synergy Denmark,05-06-23,BG Agnes,Tanker,Yardimci Gemi Insa A.S. Turkey,null,15.21,null,613,null,Wet,Tanker,Liberia,Opal Mare Incorporated,null,SDAS
2025-04-29T12:10:33.336Z,Active,null,null,null,null,USCG,null,United States of America,Indian,null,1,null,Fleet A,null,9721932,null,28-02-24,PSC,DM Henry,Glennford Gonsalves,Santosh Kakkade,null,Electrical installation shall be such that the safety of crew and ship from ekectrical hazards shall be ensure PSCO observes bondine wires on deck were corroded broken or missing,Genco,Q1 - 2024,Mobile,null,Working and Living Conditions - Working Conditions,9209,Electrical,null,17,2024PSC30,Baltic Hornet Ltd,null,null,null,null,Sanjay Kumar Jaiswal,Pradeep Selvyn,16-09-24,Genco Hornet ,Bulk Carrier,ZheJiang ZhouSan city of China,null,10.51,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.315Z,Active,null,null,null,NA,USCG,Nil,United States of America,Indian/Sri Lanka,0,0,null,Fleet B,Nil,9729477,null,19-07-23,PSC,Monick Ya powers,Glennford Gonsalves,Mahadev Dhandhiya,null,Nil findings,Genco,Q3 - 2023,Buchanan,null,0,null,0,null,null,2023PSC068,Baltic Scorpion Ltd,null,null,null,Nil,Sanjay Kumar Jaiswal,Muthukumaran,24-07-24,Baltic scorpion,Bulk Carrier,2015-08-06T00:00:00Z,null,9.74,closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:56.931Z,null,null,null,null,"01310 Signs, indications",Black Sea MOU,null,Russia,null,4,1,null,null,null,9431288,null,04-02-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,ECP connections not marked on deck,Maersk,Q1 - 2022,Taman (Rutam),null,Certificates and Documentation – Document,1310,"Signs, indications",Maersk Tankers Singapore Pte. Ltd.,null,549,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Maersk Kaya,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,13.93,null,536,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:31.519Z,Active,null,null,null,Ch IX/ Mooring- (Mooring equipment documentation and management),Asia Pacific Mou,null,Indonesia,null,1,2,null,null,null,9427330,Fleet A,09-01-25,PSC ,M-Suharnu / Nurulm,Ravi Sekhar ,Paurush Kumar Singh,"Master - Filipino
Crew     - Filipino / Indian",FWD WINDLASS OPERATIONAL PANEL RUBBER MAT NOT IN PLACE.,Wilson,Q1-2025,Kaliorang,null, ,3103, ,AM Ocean Pride Ltd,16,25PSC006,null,null,null,null,null,Umesh Iyengar,Allwyn Rodrigo,02-03-25,AM Ocean Pride,Bulk Carrier,Qingshan Shipyard,null,15.04,null,null,null,Dry,Bulk Carrier,Marshall Islands,Wilson INTL Trading Pte Ltd,null,SMSL
