Section,Question No,Question
General Appearance - Hull and Superstructure,14.18,"If provided, is the ship’s hospital properly equipped, clean, hygienic and for medical use only? (V & M)"
Health and Welfare of Seafarers,15.1,Do the Seafarer Employment Agreements (SEA) comply with the requirements of MLC 2006 and do the crew salaries meet or exceed the current ILO Minimum Wage Scale? (V & M)
Health and Welfare of Seafarers,15.2,"Are the accommodation spaces safe, provided to a respectable level of health and hygiene and regularly inspected, including checks of ventilation, noise, heating, lighting, and sanitation? (V)"
Health and Welfare of Seafarers,15.3,Are the ship’s staff provided with adequate recreation facilities on board the ship? (V)
Health and Welfare of Seafarers,15.4,Has the master been provided with a monthly welfare budget? (V)
Health and Welfare of Seafarers,15.5,Are seafarers being provided with sufficient food and water free of charge and does the cook hold appropriate qualifications? (V)
Health and Welfare of Seafarers,15.6,Are ship’s staff provided with appropriate medical care and health promotion programmes? (V)
Health and Welfare of Seafarers,15.7,"Is there evidence to confirm that visits to a qualified medical doctor or dentist have been arranged without delay in ports of call, where required? (V)"
Health and Welfare of Seafarers,15.8,"Are individual monthly statements provided to all seafarers on board, detailing their monthly wage and any authorised deductions such as allotments? (V)"
Health and Welfare of Seafarers,15.9,Is there a complaints procedure on board and are seafarers aware of this procedure? (V)
Health and Welfare of Seafarers,15.10,Is the vessel provided with adequate policies on mental health and mental disorders? (V)
Health and Welfare of Seafarers,15.11,"Are seafarers provided with free access to external sources of support, whom they can contact in confidence while on board (V)"
Health and Welfare of Seafarers,15.12,Has company provided training for on-board key personnel in recognising signs of mental health problems? (V)
Health and Welfare of Seafarers,15.13,Is the vessel provided with a practical guide regarding the management of death at sea?
Ice or Polar Water Operations,16.1,Is the vessel provided with an approved ship-specific Polar Water Operation manual or an Ice Operation manual? (V)
Ice or Polar Water Operations,16.2,Is the master aware of the operational limitations specified in the Polar Ship Certificate? (V)
Ice or Polar Water Operations,16.3,"Is the vessel appropriately manned by adequately qualified, trained, and experienced personnel? (V)"
Ice or Polar Water Operations,16.4,Is polar water operation incorporated in the approved SOPEP manual? (V)
Ice or Polar Water Operations,16.5,Is the vessel provided with a means of detecting floating ice? (V)
Ice or Polar Water Operations,16.6,Is the vessel able to receive up-to-date information including ice reports for safe navigation? (V)
Ice or Polar Water Operations,16.7,Are main engine sea chests provided with steam heating systems and is a record of check available? (V)
Ice or Polar Water Operations,16.8,Are personnel provided with appropriate protective equipment suitable for sub- freezing temperature? (V)
Ice or Polar Water Operations,16.9,Are the accommodation spaces provided with adequate heating systems? (V)
Ice or Polar Water Operations,16.10,Is the vessel equipped with suitable material and / or equipment for cleaning the ice and snow  from critical areas? (V)
Ice or Polar Water Operations,16.11,Is effective vision enhancement equipment provided on the Navigation Bridge? (V)
Ice or Polar Water Operations,16.12,"Is exterior electronic equipment, such as communication transmitters / receivers exposed to rotating radar scanners and fog horns protected from sub-freezing temperature? (V)"
Ice or Polar Water Operations,16.13,Are procedures in place to safeguard the operation of critical equipment in sub-freezing temperatures? (V)
Ice or Polar Water Operations,16.14,Are procedures in place to safeguard the readiness of lifesaving appliances and survival arrangements in sub-freezing temperature? (V)
Ice or Polar Water Operations,16.15,Are procedures in place to safeguard the readiness of firefighting equipment in sub-freezing temperature? (V)
Ice or Polar Water Operations,16.16,"Are procedures in place to safeguard the ballast lines, hydraulic lines, fire lines and bunker lines in sub-freezing temperature? (V)"
Ice or Polar Water Operations,16.17,Are means and procedures in place to safeguard the readiness of the ballast systems in sub-freezing temperature? (V)
Ice or Polar Water Operations,16.18,Are means and procedures in place to safeguard the blockage of vent pipes in sub-freezing temperature? (V)
Ice or Polar Water Operations,16.19,Are the emergency drill procedures amended prior to entering sub-freezing / polar areas and are the crew being regularly trained with such a procedure? (V)
Ice or Polar Water Operations,16.20,"If the vessel intends to trade in Polar Regions, have the hull underwriters and P&I Club been informed? (V)"
